Latitude	Longitude	ISO2	Timezone	State	ZipCode	City
41.900492	12.502790	IT	Europe/Rome	Lazio	00185	Rome
41.901867	12.470654	IT	Europe/Rome	Lazio	00193	Rome
42.723931	12.126753	IT	Europe/Rome	UMB	05018	Orvieto
43.002471	11.957900	IT	Europe/Rome	Tuscany	53043	Chiusi
43.303816	5.381949	FR	Europe/Paris	Provence-Alpes-Côte d'Azur	13232	Marseille
43.455167	5.317227	FR	Europe/Paris	Provence-Alpes-Côte d'Azur	13480	Cabriès
43.461073	11.875388	IT	Europe/Rome	Tuscany	52100	Arezzo
43.765834	11.249928	IT	Europe/Rome	Tuscany	50125	Florence
43.776810	11.247806	IT	Europe/Rome	Tuscany	50123	Florence
43.921932	4.786045	FR	Europe/Paris	Provence-Alpes-Côte d'Azur	84000	Avignon
43.939569	4.800329	FR	Europe/Paris	Provence-Alpes-Côte d'Azur	84000	Avignon
44.506141	11.343406	IT	Europe/Rome	Emilia-Romagna	40121	Bologna
45.417827	11.880620	IT	Europe/Rome	Veneto	35137	Padua
45.428659	10.982741	IT	Europe/Rome	Veneto	37122	Verona
45.437576	10.701181	IT	Europe/Rome	Veneto	37019	Peschiera del Garda
45.441397	12.320462	IT	Europe/Rome	Veneto	30121	Venice
45.444426	12.315491	IT	Europe/Rome	Veneto	30121	Venice
45.462477	9.207596	IT	Europe/Rome	Lombardy	20129	Milan
45.462665	10.536274	IT	Europe/Rome	Lombardy	25150	Desenzano del Garda
45.481902	12.231900	IT	Europe/Rome	Veneto	30171	Venice
45.487143	9.204828	IT	Europe/Rome	Lombardy	20124	Milan
45.532161	10.212869	IT	Europe/Rome	Lombardy	25122	Brescia
45.541096	11.540774	IT	Europe/Rome	Veneto	36100	Vicenza
45.552099	10.001362	IT	Europe/Rome	Lombardy	25038	Rovato
45.659700	12.245132	IT	Europe/Rome	Veneto	31100	Treviso
45.702255	4.863811	FR	Europe/Paris	Auvergne-Rhône-Alpes	69190	Saint-Fons
45.760568	4.859991	FR	Europe/Paris	Auvergne-Rhône-Alpes	69003	Lyon
45.780910	12.831202	IT	Europe/Rome	Veneto	30026	Portogruaro
45.804453	15.978478	HR	Europe/Belgrade	-	10000	Zagreb
45.807411	15.990290	HR	Europe/Belgrade	-	1000	Zagreb
45.884664	12.299104	IT	Europe/Rome	Veneto	31015	Conegliano
45.890956	11.033602	IT	Europe/Rome	Trentino-Alto Adige - Südtirol	38068	Rovereto
45.892251	15.698626	HR	Europe/Belgrade	-	10292	Sveti Križ
45.898804	15.654552	SI	Europe/Belgrade	-	8257	Brežice
45.956227	15.493286	SI	Europe/Belgrade	-	8270	Krško
45.956353	12.653683	IT	Europe/Rome	Friuli Venezia Giulia	33170	Pordenone
46.009461	15.301024	SI	Europe/Belgrade	-	8290	Sevnica
46.055783	13.242162	IT	Europe/Rome	Friuli Venezia Giulia	33100	Udine
46.058686	14.512940	SI	Europe/Belgrade	-	1000	Ljubljana
46.072287	11.118901	IT	Europe/Rome	Trentino-Alto Adige - Südtirol	38122	Trento
46.085267	15.170708	SI	Europe/Belgrade	-	1431	Hrastnik
46.239010	14.348168	SI	Europe/Belgrade	-	4000	Kranj
46.360427	14.157632	SI	Europe/Belgrade	-	4248	Radovljica
46.436350	14.053304	SI	Europe/Belgrade	-	4270	Jesenice
46.481413	14.020331	AT	Europe/Vienna	Carinthia	-	St. Jakob im Rosental
46.496380	11.358787	IT	Europe/Rome	Trentino-Alto Adige - Südtirol	I-39100	Bolzano
46.506358	13.607214	IT	Europe/Rome	Friuli Venezia Giulia	33018	Tarvisio
46.534845	13.640537	AT	Europe/Vienna	Carinthia	9602	Marktgemeinde Arnoldstein
46.615586	14.313568	AT	Europe/Vienna	Carinthia	9020	Klagenfurt (Stadt)
46.618624	13.848538	AT	Europe/Vienna	Carinthia	9501	Gemeinde Villach (Stadt)
46.620053	14.044836	AT	Europe/Vienna	Carinthia	9220	Velden am Wörther See
46.626337	14.221510	AT	Europe/Vienna	Carinthia	9201	Gemeinde Krumpendorf am Wörthersee
46.636198	14.146234	AT	Europe/Vienna	Carinthia	9210	Gemeinde Pörtschach am Wörthersee
46.682627	7.851439	CH	Europe/Zurich	Bern	3800	Interlaken
46.686394	7.680095	CH	Europe/Zurich	Bern	3700	Spiez
46.690691	7.868977	CH	Europe/Zurich	Bern	3800	Interlaken
46.709892	11.649768	IT	Europe/Rome	Trentino-Alto Adige - Südtirol	39042	Brixen
46.754856	7.629576	CH	Europe/Zurich	Bern	3600	Thun
46.781742	4.843396	FR	Europe/Paris	Burgundy	71100	Chalon-sur-Saône
46.788718	11.610080	IT	Europe/Rome	Trentino-Alto Adige - Südtirol	39045	Franzensfeste - Fortezza
46.795703	13.487415	AT	Europe/Vienna	Carinthia	9800	Spittal an der Drau
46.853440	9.528475	CH	Europe/Zurich	Graubünden - Grigioni - Grischun	7000	Chur
46.949113	7.438483	CH	Europe/Zurich	Bern	3007	Bern
46.967451	9.554059	CH	Europe/Zurich	Graubünden - Grigioni - Grischun	7302	Landquart
46.981671	13.176424	AT	Europe/Vienna	Carinthia	9822	Gemeinde Mallnitz
47.002338	11.505428	IT	Europe/Rome	Trentino-Alto Adige - Südtirol	-	Brenner - Brennero
47.044794	9.446269	CH	Europe/Zurich	Sankt Gallen	7320	Sargans
47.072301	15.416437	AT	Europe/Vienna	Styria	8020	Graz
47.111745	13.131999	AT	Europe/Vienna	Salzburg (state)	5640	Bad Gastein
47.127566	10.266993	AT	Europe/Vienna	Tyrol	6580	Sankt Anton am Arlberg
47.131719	10.120370	AT	Europe/Vienna	Vorarlberg	6754	Klösterle
47.148242	10.578388	AT	Europe/Vienna	Tyrol	6500	Landeck
47.154723	9.814566	AT	Europe/Vienna	Vorarlberg	6700	Bludenz
47.195714	13.100941	AT	Europe/Vienna	Salzburg (state)	5630	Bad Hofgastein
47.219077	10.761669	AT	Europe/Vienna	Tyrol	6471	Arzl im Pitztal
47.238484	10.859113	AT	Europe/Vienna	Tyrol	6430	Haiming
47.238673	13.103063	AT	Europe/Vienna	Salzburg (state)	5632	Dorfgastein
47.240974	9.604102	AT	Europe/Vienna	Vorarlberg	6800	Feldkirch
47.263277	11.401000	AT	Europe/Vienna	Tyrol	6013	Innsbruck
47.300708	11.078872	AT	Europe/Vienna	Tyrol	6405	Pfaffenhofen
47.307557	5.952674	FR	Europe/Paris	Bourgogne-Franche-Comté	25870	Les Auxons
47.318533	13.154463	AT	Europe/Vienna	Salzburg (state)	5620	Gemeinde Schwarzach im Pongau
47.320520	12.796567	AT	Europe/Vienna	Salzburg (state)	5700	Zell am See
47.328727	11.189484	AT	Europe/Vienna	Tyrol	6100	Seefeld in Tirol
47.346625	15.009189	AT	Europe/Vienna	Styria	8770	Sankt Michael in Obersteiermark
47.348377	13.194960	AT	Europe/Vienna	Salzburg (state)	5600	Sankt Johann im Pongau
47.352009	7.907621	CH	Europe/Zurich	Solothurn	4601	Olten
47.378186	8.539203	CH	Europe/Zurich	Zurich	CH-8005	Zurich
47.378968	8.540534	CH	Europe/Zurich	Zurich	CH-8005	Zurich
47.384235	13.467809	AT	Europe/Vienna	Salzburg (state)	5550	Radstadt
47.386600	15.089607	AT	Europe/Vienna	Styria	8701	Leoben
47.388451	11.778457	AT	Europe/Vienna	Tyrol	6200	Jenbach
47.391148	8.051323	CH	Europe/Zurich	Aargau	5000	Aarau
47.391301	8.170583	CH	Europe/Zurich	Aargau	5600	Lenzburg
47.393827	13.678148	AT	Europe/Vienna	Styria	8970	Schladming
47.411032	10.278095	DE	Europe/Berlin	Free State of Bavaria	87561	Oberstdorf
47.411635	9.253504	CH	Europe/Zurich	Sankt Gallen	9200	Gossau (SG)
47.417693	9.738805	AT	Europe/Vienna	Vorarlberg	6850	Dornbirn
47.417855	13.219887	AT	Europe/Vienna	Salzburg (state)	5500	Bischofshofen
