Flags	ID	Name	Latitude	Longitude
NDR	2000004	Smolensk	54.798340	32.034462
NDR	2000021	Wjasma	55.197390	34.317551
NDR	2000058	Moskva Belorusskaja	55.776672	37.579809
R	2000158	Osinovka(Gr)	54.707073	31.002033
ND	2096001	MOSKVA	55.790057	37.587899
NDR	2100001	Brest Central	52.100435	23.680679
NDR	2100003	Minsk-Passajirskii	53.890736	27.550643
NDR	2100012	Orscha Central	54.520834	30.374883
NDR	2100013	Baranovichi Centralnye	53.142608	26.027079
R	2100149	Brest(Gr)	52.098898	23.673856
ND	2196002	BARANOVICHI-	53.118751	26.046334
ND	2196004	MINSK(BY)	53.868712	27.651025
ND	5100005	Bromberg/Bydgoszcz	53.135111	17.991640
NDR	5100005	Bydgoszcz Glowna	53.135111	17.991640
ND	5100009	Danzig Hbf	54.355523	18.643807
NDR	5100009	Gdansk Glowny	54.355523	18.643807
NDR	5100010	Gdynia Glowna	54.520843	18.529554
NDR	5100013	Gniezno	52.529652	17.602182
NDR	5100015	Inowroclaw	52.804947	18.244057
NDR	5100026	Konin	52.231399	18.253333
NDR	5100032	Kutno	52.226958	19.348615
ND	5100056	Zoppot-	54.440165	18.562320
NDR	5100056	Sopot	54.440165	18.562320
ND	5100061	Dirschau	54.097317	18.790151
NDR	5100061	Tczew	54.097317	18.790151
NDR	5100065	Warszawa Centralna	52.228864	21.003233
NDR	5100066	Warszawa Wschodnia	52.251544	21.052332
NDR	5100067	Warszawa Zachodnia	52.219974	20.965244
ND	5100071	Neu Bentschen	52.242509	15.818093
NDR	5100071	Zbaszynek	52.242509	15.818093
NDR	5100081	Poznan Gl.	52.401996	16.910866
NDRG	5100082	Rzepin	52.350218	14.815076
NDR	5100084	Terespol	52.074142	23.601223
NDR	5101104	Gdansk Oliwa	54.409890	18.571740
NDR	5101307	Gdansk Wrzeszcz	54.381861	18.605432
NDR	5103284	Swiebodzin	52.245143	15.539535
ND	5196002	POZNAN	52.410248	16.905365
ND	5196003	VARSOVIE	52.224729	21.001417
ND	5196003	WARSZAWA	52.224729	21.001417
ND	5196006	GDYNIA	54.541528	18.473551
ND	5196007	DANZIG	54.365842	18.643960
ND	5196007	GDANSK	54.365842	18.643960
NDR	5400001	Brno hl.n.	49.190537	16.612775
ND	5400003	Bodenbach(CZ)	50.773411	14.201248
NDR	5400003	Decin hl.n.	50.773411	14.201248
NDR	5400014	Praha hl.n.	50.083058	14.436037
ND	5400019	Aussig	50.659563	14.044728
NDR	5400019	Usti nad Labem hl.n.	50.659563	14.044728
NDR	5400022	Kolin(CZ)	50.025437	15.214278
NDR	5400161	Pardubice hl.n.	50.031738	15.756211
NDR	5400201	Praha-Holesovice	50.110214	14.440010
NDR	5400202	Breclav	48.753904	16.893239
R	5403739	Breclav(Gr)	48.712553	16.868401
ND	5496001	PRAHA	50.081925	14.451481
NDR	5500003	Budapest-Keleti	47.500385	19.085069
NDR	5500006	Szob	47.820994	18.862056
NDR	5500008	Kelenföld	47.464356	19.020455
NDR	5500009	Tatabanya	47.584929	18.393610
NDR	5500016	Mosonmagyarovar	47.850353	17.266426
NDR	5500017	Hegyeshalom	47.913502	17.147022
ND	5500080	Raab	47.681985	17.634795
NDR	5500080	Györ	47.681985	17.634795
NDR	5500913	Nagymaros-Visegrad	47.790889	18.958798
NDR	5501413	Vac	47.782727	19.133063
R	5501629	Hegyeshalom(Gr)	47.938492	17.095451
ND	5596001	BOEDAPEST	47.519550	19.054084
ND	5596001	BUDAPEST	47.519550	19.054084
NDR	5600025	Nove Zamky	47.994999	18.173959
NDR	5600081	Kuty	48.661890	17.047691
ND	5600207	Preßburg Hbf	48.158908	17.106463
NDR	5600207	Bratislava hl.st.	48.158908	17.106463
