Code	Name	ISO2	Timezone
21*	[Belarus]	BY	Europe/Minsk
51*	[Poland]	PL	Europe/Warsaw
54*	[Czech Republic]	CZ	Europe/Prague
55*	[Hungary]	HU	Europe/Budapest
56*	[Slovakia]	SK	Europe/Bratislava
74*	[Sweden]	SE	Europe/Stockholm
78*	[Croatia]	HR	Europe/Belgrade
79*	[Slovenia]	SI	Europe/Ljubljana
80*	[Germany]	DE	Europe/Berlin
81*	[Austria]	AT	Europe/Vienna
82*	[Luxembourg]	LU	Europe/Luxembourg
83*	[Italy]	IT	Europe/Rome
84*	[The Nederlands]	NL	Europe/Amsterdam
85*	[Switzerland]	CH	Europe/Zurich
86*	[Denmark]	DK	Europe/Copenhagen
87*	[France]	FR	Europe/Paris
88*	[Belgium]	BE	Europe/Brussels
2000004	Smolensk	RU	Europe/Moscow
2000021	Wjasma	RU	Europe/Moscow
2000058	Moskva Belorusskaja	RU	Europe/Moscow
2000158	Osinovka(Gr)	RU	Europe/Moscow
2096001	MOSKVA	RU	Europe/Moscow
5501629	Hegyeshalom(Gr)	AT	Europe/Vienna
5603738	Kuty(Gr)	CZ	Europe/Prague
7900042	Dobova(Gr)	HR	Europe/Belgrade
7900043	Jesenice(Gr)	AT	Europe/Vienna
8000008	Kehl(Gr)	FR	Europe/Paris
8000026	Basel Bad Bf	CH	Europe/Zurich
8001774	Emmerich(Gr)	NL	Europe/Amsterdam
8002021	Forbach(fr)	FR	Europe/Paris
8300119	Tarvisio	AT	Europe/Vienna
